TIME,N_0:1,N_2:1,N_8:1
12.7,27.56157977,27.56157977,27.56157977
12.8,28.43647634,28.43647634,28.43647634
12.9,29.33914499,29.33914499,29.33914499
13,30.27046729,30.27046729,30.27046729
13.1,31.23135279,31.23135279,31.23135279
13.2,32.22273993,32.22273993,32.22273993
13.3,33.24559691,33.24559691,33.24559691
13.4,34.3009227,34.3009227,34.3009227
13.5,35.38974794,35.38974794,35.38974794
13.6,36.51313602,36.51313602,36.51313602
13.7,37.67218407,37.67218407,37.67218407
13.8,38.86802403,38.86802403,38.86802403
13.9,40.10182381,40.10182381,40.10182381
14,41.37478835,41.37478835,41.37478835
14.1,42.68816086,42.68816086,42.68816086
14.2,44.04322402,44.04322402,44.04322402
14.3,45.44130121,45.44130121,45.44130121
14.4,46.88375782,46.88375782,46.88375782
14.5,48.37200259,48.37200259,48.37200259
14.6,49.90748896,49.90748896,49.90748896
14.7,51.49171654,51.49171654,51.49171654
14.8,53.12623249,53.12623249,53.12623249
14.9,54.81263312,54.81263312,54.81263312
15,56.55256541,56.55256541,56.55256541
15.1,58.34772859,58.34772859,58.34772859
15.2,60.19987586,60.19987586,60.19987586
15.3,62.11081604,62.11081604,62.11081604
15.4,64.0824154,64.0824154,64.0824154
15.5,66.11659942,66.11659942,66.11659942
15.6,68.21535471,68.21535471,68.21535471
15.7,70.38073095,70.38073095,70.38073095
15.8,72.61484287,72.61484287,72.61484287
15.9,74.91987231,74.91987231,74.91987231
16,77.2980704,77.2980704,77.2980704
16.1,79.7517597,79.7517597,79.7517597
16.2,82.2833365,82.2833365,82.2833365
16.3,84.89527315,84.89527315,84.89527315
16.4,87.59012049,87.59012049,87.59012049
16.5,90.37051031,90.37051031,90.37051031
16.6,93.23915794,93.23915794,93.23915794
16.7,96.19886492,96.19886492,96.19886492
16.8,99.25252169,99.25252169,99.25252169
16.9,102.40311045,102.40311045,102.40311045
17,105.65370805,105.65370805,105.65370805
17.1,109.00748901,109.00748901,109.00748901
17.2,112.46772862,112.46772862,112.46772862
17.3,116.03780612,116.03780612,116.03780612
17.4,119.72120801,119.72120801,119.72120801
17.5,123.52153148,123.52153148,123.52153148
17.6,127.44248786,127.44248786,127.44248786
17.7,131.48790631,131.48790631,131.48790631
17.8,135.66173753,135.66173753,135.66173753
17.9,139.96805759,139.96805759,139.96805759
18,144.41107198,144.41107198,144.41107198
18.1,148.99511965,148.99511965,148.99511965
18.2,153.72467726,153.72467726,153.72467726
18.3,158.60436359,158.60436359,158.60436359
18.4,163.638944,163.638944,163.638944
18.5,168.83333511,168.83333511,168.83333511
18.6,174.19260961,174.19260961,174.19260961
18.7,179.72200117,179.72200117,179.72200117
18.8,185.42690959,185.42690959,185.42690959
18.9,191.31290606,191.31290606,191.31290606
19,197.38573861,197.38573861,197.38573861
19.1,203.65133769,203.65133769,203.65133769
19.2,210.11582198,210.11582198,210.11582198
19.3,216.78550438,216.78550438,216.78550438
19.4,223.66689815,223.66689815,223.66689815
19.5,230.76672327,230.76672327,230.76672327
19.6,238.09191301,238.09191301,238.09191301
19.7,245.64962069,245.64962069,245.64962069
19.8,253.44722668,253.44722668,253.44722668
19.9,261.49234557,261.49234557,261.49234557
20,269.79283366,269.79283366,269.79283366
20.1,278.35679655,278.35679655,278.35679655
20.2,287.19259714,287.19259714,287.19259714
20.3,296.30886372,296.30886372,296.30886372
20.4,305.71449843,305.71449843,305.71449843
20.5,315.41868597,315.41868597,315.41868597
20.6,325.43090249,325.43090249,325.43090249
20.7,335.76092494,335.76092494,335.76092494
20.8,346.41884051,346.41884051,346.41884051
20.9,357.41505656,357.41505656,357.41505656
21,368.76031073,368.76031073,368.76031073
21.1,380.46568145,380.46568145,380.46568145
21.2,392.54259871,392.54259871,392.54259871
21.3,405.00285526,405.00285526,405.00285526
21.4,417.85861811,417.85861811,417.85861811
21.5,431.12244037,431.12244037,431.12244037
21.6,444.80727354,444.80727354,444.80727354
21.7,458.92648015,458.92648015,458.92648015
21.8,473.49384676,473.49384676,473.49384676
21.9,488.52359745,488.52359745,488.52359745
22,504.03040768,504.03040768,504.03040768
22.1,520.02941865,520.02941865,520.02941865
22.2,536.536252,536.536252,536.536252
22.3,553.56702512,553.56702512,553.56702512
22.4,571.13836684,571.13836684,571.13836684
22.5,589.26743369,589.26743369,589.26743369
22.6,607.97192659,607.97192659,607.97192659
22.7,627.27010814,627.27010814,627.27010814
22.8,647.18082046,647.18082046,647.18082046
22.9,667.72350353,667.72350353,667.72350353
23,688.9182142,688.9182142,688.9182142
23.1,710.78564571,710.78564571,710.78564571
23.2,733.3471479,733.3471479,733.3471479
23.3,756.62474803,756.62474803,756.62474803
23.4,780.64117227,780.64117227,780.64117227
23.5,805.41986784,805.41986784,805.41986784
23.6,830.98502592,830.98502592,830.98502592
23.7,857.3616052,857.3616052,857.3616052
23.8,884.57535626,884.57535626,884.57535626
23.9,912.65284662,912.65284662,912.65284662
24,941.62148673,941.62148673,941.62148673
24.1,971.50955661,971.50955661,971.50955661
24.2,1002.34623349,1002.34623349,1002.34623349
24.3,1034.16162021,1034.16162021,1034.16162021
24.4,1066.98677461,1066.98677461,1066.98677461
24.5,1100.85373975,1100.85373975,1100.85373975
24.6,1135.79557521,1135.79557521,1135.79557521
24.7,1171.84638924,1171.84638924,1171.84638924
24.8,1209.04137209,1209.04137209,1209.04137209
24.9,1247.41683023,1247.41683023,1247.41683023
25,1287.01022175,1287.01022175,1287.01022175
25.1,1327.86019291,1327.86019291,1327.86019291
25.2,1370.00661573,1370.00661573,1370.00661573
25.3,1413.49062687,1413.49062687,1413.49062687
25.4,1458.35466772,1458.35466772,1458.35466772
25.5,1504.6425257,1504.6425257,1504.6425257
25.6,1552.39937697,1552.39937697,1552.39937697
25.7,1601.67183038,1601.67183038,1601.67183038
25.8,1652.50797291,1652.50797291,1652.50797291
25.9,1704.95741644,1704.95741644,1704.95741644
