TIME,NIC:1,NIA:1,NIE:1
12.7,0.00194636,0.13624461,0.0780702
12.8,0.00200815,0.14056939,0.08054836
12.9,0.00207189,0.14503144,0.08310517
13,0.00213766,0.14963513,0.08574315
13.1,0.00220552,0.15438495,0.08846486
13.2,0.00227553,0.15928554,0.09127297
13.3,0.00234776,0.16434168,0.09417021
13.4,0.00242228,0.16955832,0.09715941
13.5,0.00249917,0.17494054,0.10024349
13.6,0.0025785,0.1804936,0.10342547
13.7,0.00266035,0.18622292,0.10670845
13.8,0.0027448,0.1921341,0.11009563
13.9,0.00283193,0.19823291,0.11359033
14,0.00292182,0.20452531,0.11719595
14.1,0.00301457,0.21101743,0.12091602
14.2,0.00311026,0.21771563,0.12475418
14.3,0.00320898,0.22462643,0.12871415
14.4,0.00331085,0.2317566,0.13279983
14.5,0.00341594,0.23911308,0.13701518
14.6,0.00352437,0.24670306,0.14136434
14.7,0.00363625,0.25453396,0.14585154
14.8,0.00375167,0.26261342,0.15048117
14.9,0.00387076,0.27094933,0.15525774
15,0.00399362,0.27954983,0.16018593
15.1,0.00412039,0.28842331,0.16527054
15.2,0.00425118,0.29757844,0.17051653
15.3,0.00438613,0.30702417,0.17592904
15.4,0.00452535,0.3167697,0.18151334
15.5,0.004669,0.32682456,0.18727489
15.6,0.0048172,0.33719856,0.19321931
15.7,0.00497011,0.34790184,0.1993524
15.8,0.00512787,0.35894484,0.20568016
15.9,0.00529064,0.37033834,0.21220875
16,0.00545858,0.38209347,0.21894456
16.1,0.00563185,0.39422171,0.22589417
16.2,0.00581062,0.40673489,0.23306434
16.3,0.00599506,0.41964524,0.2404621
16.4,0.00618535,0.43296535,0.24809465
16.5,0.00638169,0.44670823,0.25596945
16.6,0.00658425,0.46088729,0.26409418
16.7,0.00679325,0.47551639,0.27247679
16.8,0.00700888,0.49060979,0.28112544
16.9,0.00723136,0.50618225,0.29004859
17,0.00746089,0.52224894,0.29925494
17.1,0.00769771,0.53882557,0.30875348
17.2,0.00794205,0.55592832,0.31855348
17.3,0.00819415,0.57357386,0.32866451
17.4,0.00845424,0.59177945,0.33909644
17.5,0.00872259,0.61056283,0.34985945
17.6,0.00899946,0.62994236,0.36096405
17.7,0.00928511,0.64993693,0.37242107
17.8,0.00957983,0.67056608,0.3842417
17.9,0.00988391,0.69184994,0.39643747
18,0.01019764,0.71380928,0.40902029
18.1,0.01052132,0.73646553,0.42200243
18.2,0.01085528,0.7598408,0.43539658
18.3,0.01119983,0.78395792,0.44921579
18.4,0.01155533,0.80884041,0.46347356
18.5,0.0119221,0.83451256,0.47818379
18.6,0.01230052,0.86099943,0.49336086
18.7,0.01269094,0.88832687,0.50901955
18.8,0.01309376,0.91652153,0.52517516
18.9,0.01350936,0.94561094,0.54184345
19,0.01393815,0.97562349,0.55904069
19.1,0.01438055,1.00658845,0.57678365
19.2,0.01483699,1.03853605,0.59508964
19.3,0.01530792,1.07149745,0.61397652
19.4,0.01579379,1.10550482,0.63346273
19.5,0.01629508,1.14059134,0.65356728
19.6,0.01681229,1.17679123,0.67430977
19.7,0.0173459,1.21413983,0.69571044
19.8,0.01789645,1.25267356,0.71779017
19.9,0.01846447,1.29243002,0.74057049
20,0.01905052,1.33344799,0.76407363
20.1,0.01965516,1.37576748,0.78832252
