TIME,I_8:1,I_7:1,I_grad:1
12.8,54.59807842,54.59807842,54.5981054
12.9,56.33120506,56.33120506,56.33123311
13,58.1193469,58.1193469,58.11937606
13.1,59.96425028,59.96425028,59.96428061
13.2,61.86771701,61.86771701,61.86774854
13.3,63.83160607,63.83160607,63.83163884
13.4,65.85783546,65.85783546,65.85786953
13.5,67.94838407,67.94838407,67.94841948
13.6,70.10529358,70.10529358,70.10533039
13.7,72.33067051,72.33067051,72.33070876
13.8,74.62668823,74.62668823,74.62672799
13.9,76.99558911,76.99558911,76.99563042
14,79.43968668,79.43968668,79.43972961
14.1,81.96136792,81.96136792,81.96141254
14.2,84.5630956,84.5630956,84.56314195
14.3,87.24741062,87.24741062,87.24745878
14.4,90.01693458,90.01693458,90.01698462
14.5,92.87437226,92.87437226,92.87442425
14.6,95.82251434,95.82251434,95.82256834
14.7,98.86424003,98.86424003,98.86429614
14.8,102.00251999,102.00251999,102.00257827
14.9,105.24041914,105.24041914,105.24047967
15,108.58109969,108.58109969,108.58116257
15.1,112.02782426,112.02782426,112.02788956
15.2,115.58395899,115.58395899,115.58402681
15.3,119.2529769,119.2529769,119.25304733
15.4,123.03846124,123.03846124,123.03853438
15.5,126.94410901,126.94410901,126.94418497
15.6,130.97373456,130.97373456,130.97381344
15.7,135.13127332,135.13127332,135.13135522
15.8,139.42078563,139.42078563,139.42087066
15.9,143.84646072,143.84646072,143.84654901
16,148.41262081,148.41262081,148.41271247
16.1,153.12372529,153.12372529,153.12382046
16.2,157.98437514,157.98437514,157.98447394
16.3,162.99931735,162.99931735,162.99941992
16.4,168.17344962,168.17344962,168.17355609
16.5,173.51182508,173.51182508,173.5119356
16.6,179.0196573,179.0196573,179.01977202
16.7,184.70232531,184.70232531,184.70244439
16.8,190.5653789,190.5653789,190.56550249
16.9,196.614544,196.614544,196.61467227
17,202.85572832,202.85572832,202.85586145
17.1,209.29502708,209.29502708,209.29516524
17.2,215.93872898,215.93872898,215.93887236
17.3,222.79332233,222.79332233,222.79347112
17.4,229.86550139,229.86550139,229.86565579
17.5,237.16217293,237.16217293,237.16233314
17.6,244.69046293,244.69046293,244.69062917
17.7,252.45772356,252.45772356,252.45789606
17.8,260.4715404,260.4715404,260.47171937
