TIME,I_8:1,I_7:1,I_grad:1
63.3,5.65506359,53.97798136,50.39611168
63.4,5.59646172,53.69756015,49.87385338
63.5,5.53846711,53.41859576,49.35700727
63.6,5.48107349,53.1410806,48.84551726
63.7,5.42427463,52.86500717,48.33932786
63.8,5.36806435,52.59036795,47.83838414
63.9,5.31243657,52.31715551,47.34263172
64,5.25738524,52.04536243,46.85201682
64.1,5.2029044,51.77498134,46.36648619
64.2,5.14898812,51.5060049,45.88598715
64.3,5.09563056,51.23842582,45.41046755
64.4,5.04282594,50.97223683,44.93987579
64.5,4.99056851,50.70743071,44.4741608
64.6,4.93885261,50.44400029,44.01327205
64.7,4.88767264,50.18193841,43.55715951
64.8,4.83702302,49.92123796,43.1057737
64.9,4.78689827,49.66189187,42.65906563
65,4.73729295,49.40389311,42.21698682
65.1,4.68820168,49.14723467,41.77948931
65.2,4.63961913,48.8919096,41.34652561
65.3,4.59154003,48.63791096,40.91804874
65.4,4.54395915,48.38523187,40.4940122
65.5,4.49687135,48.13386546,40.07436999
65.6,4.4502715,47.88380493,39.65907655
65.7,4.40415455,47.63504348,39.24808682
65.8,4.3585155,47.38757437,38.84135621
65.9,4.3133494,47.14139088,38.43884057
66,4.26865133,46.89648634,38.04049623
66.1,4.22441647,46.6528541,37.64627996
66.2,4.18063999,46.41048754,37.25614897
66.3,4.13731716,46.16938011,36.87006094
66.4,4.09444328,45.92952524,36.48797397
66.5,4.05201368,45.69091645,36.10984658
66.6,4.01002377,45.45354725,35.73563776
66.7,3.96846899,45.2174112,35.36530689
66.8,3.92734483,44.9825019,34.99881377
66.9,3.88664683,44.74881298,34.63611866
67,3.84637057,44.51633808,34.27718217
67.1,3.80651168,44.28507092,33.92196537
67.2,3.76706584,44.05500521,33.5704297
67.3,3.72802877,43.82613472,33.22253702
67.4,3.68939623,43.59845322,32.87824957
67.5,3.65116402,43.37195455,32.53753
67.6,3.61332801,43.14663256,32.20034133
67.7,3.57588408,42.92248114,31.86664697
67.8,3.53882817,42.69949421,31.5364107
67.9,3.50215626,42.47766572,31.20959669
68,3.46586437,42.25698964,30.88616948
68.1,3.42994856,42.03746,30.56609397
68.2,3.39440494,41.81907083,30.24933542
68.3,3.35922965,41.60181621,29.93585946
68.4,3.32441887,41.38569025,29.62563207
68.5,3.28996883,41.17068709,29.31861959
68.6,3.25587578,40.95680089,29.0147887
68.7,3.22213603,40.74402584,28.71410643
68.8,3.18874592,40.53235618,28.41654015
68.9,3.15570181,40.32178617,28.12205757
69,3.12300014,40.11231008,27.83062673
69.1,3.09063734,39.90392225,27.54221601
69.2,3.05860991,39.696617,27.25679411
69.3,3.02691437,39.49038873,26.97433005
69.4,2.99554728,39.28523183,26.69479319
69.5,2.96450525,39.08114074,26.41815319
69.6,2.93378489,38.87810993,26.14438003
69.7,2.90338288,38.67613388,25.873444
69.8,2.87329591,38.47520711,25.60531569
69.9,2.84352073,38.27532417,25.33996602
70,2.8140541,38.07647965,25.07736618
70.1,2.78489283,37.87866814,24.81748769
70.2,2.75603375,37.68188429,24.56030233
70.3,2.72747372,37.48612274,24.3057822
70.4,2.69920966,37.29137819,24.05389968
70.5,2.67123849,37.09764536,23.80462744
70.6,2.64355717,36.90491899,23.55793842
70.7,2.61616271,36.71319385,23.31380586
70.8,2.58905213,36.52246474,23.07220325
70.9,2.56222249,36.33272649,22.8331044
71,2.53567088,36.14397395,22.59648334
71.1,2.50939441,35.95620199,22.3623144
71.2,2.48339025,35.76940553,22.13057217
71.3,2.45765555,35.58357949,21.9012315
71.4,2.43218754,35.39871884,21.6742675
71.5,2.40698344,35.21481856,21.44965555
71.6,2.38204053,35.03187365,21.22737126
71.7,2.3573561,34.84987916,21.00739052
71.8,2.33292746,34.66883015,20.78968946
71.9,2.30875197,34.48872171,20.57424445
72,2.284827,34.30954895,20.36103211
72.1,2.26114996,34.13130701,20.15002931
72.2,2.23771828,33.95399106,19.94121314
72.3,2.21452942,33.77759627,19.73456094
72.4,2.19158086,33.60211788,19.5300503
72.5,2.1688701,33.42755111,19.32765902
72.6,2.1463947,33.25389124,19.12736513
72.7,2.12415219,33.08113354,18.9291469
72.8,2.10214018,32.90927334,18.73298282
72.9,2.08035628,32.73830597,18.5388516
73,2.05879812,32.56822679,18.34673217
73.1,2.03746335,32.39903119,18.15660369
73.2,2.01634968,32.23071457,17.96844553
73.3,1.9954548,32.06327238,17.78223726
73.4,1.97477644,31.89670007,17.59795869
73.5,1.95431237,31.73099312,17.4155898
73.6,1.93406037,31.56614703,17.23511082
73.7,1.91401823,31.40215733,17.05650215
73.8,1.89418378,31.23901958,16.87974441
73.9,1.87455487,31.07672934,16.70481843
74,1.85512937,30.91528222,16.53170522
74.1,1.83590517,30.75467383,16.36038599
74.2,1.81688019,30.59489981,16.19084215
74.3,1.79805236,30.43595584,16.02305531
74.4,1.77941963,30.2778376,15.85700726
74.5,1.76097999,30.1205408,15.69267997
74.6,1.74273144,29.96406118,15.53005562
74.7,1.72467199,29.80839448,15.36911656
74.8,1.70679968,29.65353648,15.20984532
74.9,1.68911258,29.49948299,15.05222461
75,1.67160877,29.34622982,14.89623735
75.1,1.65428634,29.19377281,14.74186658
75.2,1.63714343,29.04210784,14.58909558
75.3,1.62017816,28.89123078,14.43790775
75.4,1.60338869,28.74113755,14.28828669
75.5,1.58677321,28.59182406,14.14021616
75.6,1.57032992,28.44328627,13.9936801
75.7,1.55405702,28.29552015,13.8486626
75.8,1.53795275,28.14852169,13.70514793
75.9,1.52201536,28.0022869,13.56312051
76,1.50624313,27.85681182,13.42256493
76.1,1.49063435,27.7120925,13.28346594
76.2,1.47518731,27.568125,13.14580844
76.3,1.45990035,27.42490544,13.0095775
76.4,1.4447718,27.28242991,12.87475832
76.5,1.42980002,27.14069456,12.74133629
76.6,1.4149834,26.99969554,12.60929692
76.7,1.40032031,26.85942902,12.47862588
76.8,1.38580917,26.7198912,12.349309
76.9,1.37144841,26.5810783,12.22133223
77,1.35723647,26.44298654,12.0946817
77.1,1.34317179,26.30561218,11.96934365
77.2,1.32925287,26.1689515,11.84530449
77.3,1.31547819,26.03300079,11.72255076
77.4,1.30184625,25.89775635,11.60106914
77.5,1.28835557,25.76321452,11.48084643
77.6,1.27500469,25.62937165,11.3618696
77.7,1.26179217,25.49622411,11.24412574
77.8,1.24871656,25.36376828,11.12760207
77.9,1.23577645,25.23200058,11.01228594
78,1.22297044,25.10091742,10.89816484
78.1,1.21029713,24.97051526,10.78522638
78.2,1.19775515,24.84079054,10.67345831
78.3,1.18534314,24.71173976,10.5628485
78.4,1.17305975,24.58335941,10.45338495
78.5,1.16090365,24.45564602,10.34505578
78.6,1.14887353,24.3285961,10.23784923
78.7,1.13696806,24.20220623,10.13175367
78.8,1.12518597,24.07647296,10.02675759
78.9,1.11352598,23.95139289,9.92284958
79,1.10198681,23.82696263,9.82001839
79.1,1.09056723,23.70317879,9.71825284
79.2,1.07926597,23.58003802,9.61754189
79.3,1.06808184,23.45753698,9.51787462
79.4,1.0570136,23.33567235,9.41924021
79.5,1.04606005,23.21444082,9.32162795
79.6,1.03522002,23.0938391,9.22502726
79.7,1.02449232,22.97386392,9.12942764
79.8,1.01387578,22.85451202,9.03481873
79.9,1.00336926,22.73578017,8.94119026
80,0.99297162,22.61766514,8.84853207
80.1,0.98268173,22.50016373,8.7568341
80.2,0.97249847,22.38327276,8.66608641
80.3,0.96242073,22.26698905,8.57627913
80.4,0.95244743,22.15130944,8.48740254
80.5,0.94257747,22.0362308,8.39944698
80.6,0.9328098,21.92175001,8.31240292
80.7,0.92314335,21.80786395,8.22626089
80.8,0.91357706,21.69456955,8.14101156
80.9,0.90410992,21.58186372,8.05664568
81,0.89474087,21.46974342,7.97315409
81.1,0.88546892,21.35820559,7.89052772
81.2,0.87629304,21.24724721,7.80875762
81.3,0.86721226,21.13686527,7.72783491
81.4,0.85822557,21.02705678,7.6477508
81.5,0.84933202,20.91781875,7.56849661
81.6,0.84053062,20.80914823,7.49006374
81.7,0.83182043,20.70104226,7.41244368
81.8,0.8232005,20.59349792,7.33562799
81.9,0.8146699,20.48651228,7.25960836
82,0.8062277,20.38008244,7.18437652
82.1,0.79787298,20.27420552,7.10992431
82.2,0.78960484,20.16887864,7.03624366
82.3,0.78142238,20.06409894,6.96332656
82.4,0.77332472,19.95986359,6.89116511
82.5,0.76531096,19.85616975,6.81975147
82.6,0.75738025,19.75301461,6.7490779
82.7,0.74953173,19.65039537,6.67913672
82.8,0.74176454,19.54830925,6.60992035
82.9,0.73407783,19.44675348,6.54142128
83,0.72647079,19.3457253,6.47363206
83.1,0.71894257,19.24522198,6.40654535
83.2,0.71149236,19.14524078,6.34015386
83.3,0.70411936,19.04577899,6.27445039
83.4,0.69682276,18.94683392,6.20942781
83.5,0.68960178,18.84840288,6.14507907
83.6,0.68245562,18.7504832,6.08139718
83.7,0.67538352,18.65307223,6.01837522
83.8,0.66838471,18.55616731,5.95600637
83.9,0.66145842,18.45976583,5.89428385
84,0.65460391,18.36386516,5.83320096
84.1,0.64782043,18.26846271,5.77275108
84.2,0.64110724,18.17355588,5.71292765
84.3,0.63446362,18.07914211,5.65372417
84.4,0.62788885,17.98521882,5.59513423
84.5,0.62138221,17.89178348,5.53715145
84.6,0.61494299,17.79883354,5.47976955
84.7,0.60857051,17.70636649,5.42298231
84.8,0.60226406,17.61437982,5.36678355
84.9,0.59602296,17.52287103,5.31116719
85,0.58984653,17.43183763,5.25612719
85.1,0.58373412,17.34127717,5.20165756
85.2,0.57768504,17.25118717,5.14775241
85.3,0.57169865,17.1615652,5.09440589
85.4,0.56577429,17.07240883,5.04161219
85.5,0.55991132,16.98371564,4.98936561
85.6,0.55410912,16.89548322,4.93766045
85.7,0.54836703,16.80770917,4.88649112
85.8,0.54268446,16.72039112,4.83585207
85.9,0.53706077,16.6335267,4.78573778
86,0.53149535,16.54711355,4.73614284
86.1,0.52598761,16.46114932,4.68706185
86.2,0.52053694,16.37563169,4.63848949
86.3,0.51514276,16.29055833,4.5904205
86.4,0.50980448,16.20592694,4.54284964
86.5,0.50452151,16.12173522,4.49577176
86.6,0.4992933,16.03798088,4.44918176
86.7,0.49411926,15.95466166,4.40307457
86.8,0.48899883,15.87177529,4.35744519
86.9,0.48393147,15.78931952,4.31228867
87,0.47891662,15.70729212,4.26760012
87.1,0.47395374,15.62569086,4.22337467
87.2,0.46904229,15.54451353,4.17960754
87.3,0.46418173,15.46375792,4.13629396
87.4,0.45937154,15.38342185,4.09342925
87.5,0.4546112,15.30350314,4.05100875
87.6,0.44990019,15.22399961,4.00902786
87.7,0.44523799,15.14490911,3.96748201
87.8,0.44062411,15.06622949,3.92636671
87.9,0.43605805,14.98795863,3.88567749
88,0.4315393,14.91009439,3.84540994
88.1,0.42706737,14.83263466,3.80555968
88.2,0.42264179,14.75557735,3.76612239
88.3,0.41826207,14.67892035,3.7270938
88.4,0.41392773,14.6026616,3.68846966
88.5,0.40963831,14.52679903,3.65024578
88.6,0.40539334,14.45133056,3.61241802
88.7,0.40119236,14.37625417,3.57498227
88.8,0.39703491,14.3015678,3.53793448
88.9,0.39292055,14.22726944,3.50127061
89,0.38884882,14.15335707,3.46498669
89.1,0.38481929,14.07982868,3.42907878
89.2,0.38083151,14.00668228,3.39354299
89.3,0.37688506,13.93391588,3.35837546
89.4,0.3729795,13.86152751,3.32357238
89.5,0.36911442,13.78951521,3.28912996
89.6,0.36528938,13.71787702,3.25504447
89.7,0.36150399,13.646611,3.22131221
89.8,0.35775782,13.57571521,3.18792952
89.9,0.35405048,13.50518774,3.15489278
90,0.35038155,13.43502666,3.1221984
