-20.0,3.0,3.0,3.0
-19.9,3.0,3.0,3.0
-19.800000000000000,3.0,3.0,3.0
-19.700000000000000,3.5,3.5,3.5
-19.600000000000000,3.5,3.5,3.5
-19.500000000000000,3.5,3.5,3.5
-19.40000000000000,3.5,3.5,3.5
-19.30000000000000,3.5,3.5,3.5
-19.20000000000000,3.5,3.5,3.5
-19.100000000000000,3.5,3.5,3.5
-19.000000000000000,3.5,3.5,3.5
-18.900000000000000,3.5,3.5,3.5
-18.800000000000000,3.5,3.5,3.5
-18.70000000000000,3.5,3.5,3.5
-18.60000000000000,3.5,3.5,3.5
-18.50000000000000,3.5,3.5,3.5
-18.400000000000000,3.5,3.5,3.5
-18.300000000000000,3.5,3.5,3.5
-18.200000000000000,3.5,3.5,3.5
-18.100000000000000,3.5,3.5,3.5
-18.00000000000000,3.5,3.5,3.5
-17.90000000000000,3.5,3.5,3.5
-17.80000000000000,3.5,3.5,3.5
-17.700000000000000,3.5,3.5,3.5
-17.600000000000000,3.5,3.5,3.5
-17.500000000000000,3.5,3.5,3.5
-17.400000000000000,3.5,3.5,3.5
-17.30000000000000,3.5,3.5,3.5
-17.20000000000000,3.5,3.5,3.5
-17.10000000000000,3.5,3.5,3.5
-17.000000000000000,3.5,3.5,3.5
-16.900000000000000,3.5,3.5,3.5
-16.800000000000000,4.0,4.0,4.0
-16.700000000000000,4.0,4.0,4.0
-16.60000000000000,4.0,4.0,4.0
-16.50000000000000,4.5,4.5,4.5
-16.40000000000000,4.5,4.5,4.5
-16.299999999999900,5.0,5.0,5.0
-16.199999999999900,5.0,5.0,5.0
-16.099999999999900,5.0,5.0,5.0
-15.999999999999900,5.0,5.0,5.0
-15.899999999999900,5.0,5.0,5.0
-15.79999999999990,5.0,5.0,5.0
-15.699999999999900,5.0,5.0,5.0
-15.599999999999900,5.0,5.0,5.0
-15.499999999999900,5.0,5.0,5.0
-15.399999999999900,5.0,5.0,5.0
-15.299999999999900,5.0,5.0,5.0
-15.199999999999900,5.0,5.0,5.0
-15.09999999999990,5.0,5.0,5.0
-14.999999999999900,5.0,5.0,5.0
-14.899999999999900,5.0,5.0,5.0
-14.799999999999900,5.0,5.0,5.0
-14.699999999999900,5.0,5.0,5.0
-14.599999999999900,5.0,5.0,5.0
-14.499999999999900,5.0,5.0,5.0
-14.39999999999990,5.0,5.0,5.0
-14.299999999999900,5.0,5.0,5.0
-14.199999999999900,5.0,5.0,5.0
-14.099999999999900,5.0,5.0,5.0
-13.999999999999900,5.0,5.0,5.0
-13.899999999999900,5.0,5.0,5.0
-13.799999999999900,5.0,5.0,5.0
-13.69999999999990,6.5,6.5,6.5
-13.599999999999900,6.5,6.5,6.5
-13.499999999999900,6.5,6.5,6.5
-13.399999999999900,6.5,6.5,6.5
-13.299999999999900,6.5,6.5,6.5
-13.199999999999900,6.5,6.5,6.5
-13.099999999999900,7.0,7.0,7.0
-12.9999999999999,7.0,7.0,7.0
-12.899999999999900,7.5,7.5,7.5
-12.799999999999900,9.0,9.0,9.0
-12.699999999999900,9.0,9.0,9.0
-12.599999999999900,9.5,9.5,9.5
-12.499999999999900,9.5,9.5,9.5
-12.399999999999900,9.5,9.5,9.5
-12.29999999999990,10.0,10.0,10.0
-12.19999999999990,11.0,11.0,11.0
-12.099999999999900,11.0,11.0,11.0
-11.999999999999900,12.5,12.5,12.5
-11.899999999999900,12.5,12.5,12.5
-11.799999999999900,12.5,12.5,12.5
-11.699999999999900,12.5,12.5,12.5
-11.59999999999990,12.5,12.5,12.5
-11.49999999999990,14.0,14.0,14.0
-11.399999999999900,14.0,14.0,14.0
-11.299999999999900,14.0,14.0,14.0
-11.199999999999900,14.0,14.0,14.0
-11.099999999999900,14.0,14.0,14.0
-10.999999999999900,15.5,15.5,15.5
-10.89999999999990,15.5,15.5,15.5
-10.79999999999990,15.5,15.5,15.5
-10.699999999999900,17.0,17.0,17.0
-10.599999999999900,17.0,17.0,17.0
-10.499999999999900,18.5,18.5,18.5
-10.399999999999900,18.5,18.5,18.5
-10.299999999999900,18.5,18.5,18.5
-10.19999999999990,20.0,20.0,20.0
-10.09999999999990,20.0,20.0,20.0
-9.999999999999860,21.5,21.5,21.5
-9.899999999999860,21.5,21.5,21.5
-9.799999999999860,21.5,21.5,21.5
-9.699999999999850,23.0,23.0,23.0
-9.599999999999850,23.0,23.0,23.0
-9.49999999999985,24.5,24.5,24.5
-9.39999999999985,24.5,24.5,24.5
-9.299999999999850,26.0,26.0,26.0
-9.199999999999850,27.5,27.5,27.5
-9.099999999999850,27.5,27.5,27.5
-8.999999999999840,29.0,29.0,29.0
-8.899999999999840,29.0,29.0,29.0
-8.79999999999984,30.5,30.5,30.5
-8.69999999999984,30.5,30.5,30.5
-8.599999999999840,30.5,30.5,30.5
-8.499999999999840,33.5,33.5,33.5
-8.399999999999840,33.5,33.5,33.5
-8.299999999999830,36.5,36.5,36.5
-8.199999999999830,36.5,36.5,36.5
-8.099999999999830,36.5,36.5,36.5
-7.9999999999998300,39.5,39.5,39.5
-7.899999999999830,39.5,39.5,39.5
-7.799999999999830,41.0,41.0,41.0
-7.699999999999830,44.0,44.0,44.0
-7.599999999999820,44.0,44.0,44.0
-7.499999999999820,45.5,45.5,45.5
-7.399999999999820,45.5,45.5,45.5
-7.2999999999998200,48.5,48.5,48.5
-7.199999999999820,50.0,50.0,50.0
-7.099999999999820,50.0,50.0,50.0
-6.999999999999820,54.5,54.5,54.5
-6.899999999999810,54.5,54.5,54.5
-6.799999999999810,57.5,57.5,57.5
