TIME,I_8:1,I_65:1
17.6,244.69046293,244.69046293
17.7,252.45772356,252.45772356
17.8,260.4715404,260.4715404
17.9,268.73973976,268.73973976
18,277.2703964,277.2703964
18.1,286.07184138,286.07184138
18.2,295.1526702,295.1526702
18.3,304.5217512,304.5217512
18.4,314.18823422,314.18823422
18.5,324.1615595,324.1615595
18.6,334.45146695,334.45146695
18.7,345.06800565,345.06800565
18.8,356.02154363,356.02154363
18.9,367.322778,367.322778
19,378.98274546,378.98274546
19.1,391.01283296,391.01283296
19.2,403.42478894,403.42478894
19.3,416.23073472,416.23073472
19.4,429.44317636,429.44317636
19.5,443.07501687,443.07501687
19.6,457.13956883,457.13956883
19.7,471.65056734,471.65056734
19.8,486.62218349,486.62218349
19.9,502.06903813,502.06903813
20,514.40896971,515.08345343
20.1,509.07831411,513.7437633
20.2,503.80289814,512.40755681
20.3,498.58214937,511.07482492
20.4,493.41550133,509.74555859
20.5,488.30239338,508.41974881
20.6,483.24227071,507.0973866
20.7,478.23458427,505.778463
20.8,473.27879067,504.46296907
20.9,468.37435218,503.1508959
21,463.52073663,501.84223459
21.1,458.71741735,500.53697627
21.2,453.96387316,499.23511211
21.3,449.25958826,497.93663328
21.4,444.60405219,496.64153097
21.5,439.99675978,495.34979642
21.6,435.43721112,494.06142088
21.7,430.92491145,492.77639559
21.8,426.45937116,491.49471187
21.9,422.04010569,490.21636103
22,417.66663552,488.9413344
22.1,413.3384861,487.66962333
22.2,409.05518777,486.40121923
22.3,404.81627578,485.13611347
22.4,400.62129016,483.87429751
22.5,396.46977573,482.61576277
22.6,392.361282,481.36050074
22.7,388.29536317,480.10850291
22.8,384.27157807,478.85976079
22.9,380.28949006,477.61426592
23,376.34866707,476.37200986
23.1,372.44868148,475.13298418
23.2,368.58911011,473.89718051
23.3,364.76953416,472.66459045
23.4,360.98953918,471.43520565
23.5,357.24871501,470.20901779
23.6,353.54665573,468.98601855
23.7,349.88295964,467.76619965
23.8,346.2572292,466.54955282
23.9,342.66907099,465.3360698
24,339.11809565,464.12574239
24.1,335.60391788,462.91856237
24.2,332.12615636,461.71452157
24.3,328.68443372,460.51361182
24.4,325.2783765,459.31582499
24.5,321.90761512,458.12115295
24.6,318.57178383,456.92958762
24.7,315.27052064,455.74112091
24.8,312.00346736,454.55574477
24.9,308.77026947,453.37345117
25,305.57057614,452.19423209
25.1,302.40404019,451.01807955
25.2,299.270318,449.84498557
25.3,296.16906956,448.67494219
25.4,293.09995833,447.5079415
25.5,290.0626513,446.34397558
25.6,287.0568189,445.18303654
25.7,284.08213495,444.02511651
25.8,281.13827669,442.87020765
25.9,278.22492468,441.71830213
26,275.34176279,440.56939214
26.1,272.48847817,439.42346989
26.2,269.66476122,438.28052762
26.3,266.87030554,437.14055758
26.4,264.1048079,436.00355205
26.5,261.36796823,434.86950332
26.6,258.65948955,433.73840369
26.7,255.97907796,432.61024552
26.8,253.32644263,431.48502114
26.9,250.7012957,430.36272294
27,248.10335234,429.2433433
27.1,245.53233063,428.12687464
27.2,242.98795161,427.01330939
27.3,240.46993918,425.90264001
27.4,237.97802011,424.79485896
27.5,235.51192401,423.68995875
27.6,233.07138328,422.58793187
27.7,230.65613311,421.48877086
27.8,228.26591142,420.39246827
27.9,225.90045883,419.29901667
28,223.55951869,418.20840864
28.1,221.24283698,417.1206368
28.2,218.95016232,416.03569377
28.3,216.68124592,414.95357221
28.4,214.4358416,413.87426476
28.5,212.2137057,412.79776412
28.6,210.0145971,411.724063
28.7,207.83827717,410.6531541
28.8,205.68450978,409.58503019
28.9,203.5530612,408.519684
29,201.44370017,407.45710833
29.1,199.35619779,406.39729597
29.2,197.29032755,405.34023974
29.3,195.24586529,404.28593248
29.4,193.22258916,403.23436702
29.5,191.22027961,402.18553626
29.6,189.23871939,401.13943308
29.7,187.27769346,400.09605038
29.8,185.33698904,399.0553811
29.9,183.41639554,398.01741818
30,181.51570457,396.98215459
30.1,179.63470987,395.94958331
