20.700000000000000,493.0,513.5
20.8,490.5,512.5
20.900000000000000,482.5,510.0
21.0,478.0,509.0
21.1,474.0,507.5
21.200000000000000,470.5,507.0
21.3,464.5,505.0
21.400000000000000,457.5,502.5
21.5,454.5,502.0
21.6,451.0,501.0
21.700000000000000,446.0,500.0
21.8,444.0,499.5
21.900000000000000,436.5,497.0
22.0,432.0,496.0
22.1,428.0,494.5
22.200000000000000,426.0,494.0
22.3,421.0,492.5
22.400000000000000,414.0,490.5
22.5,410.0,489.0
22.6,407.0,488.5
22.700000000000000,403.0,487.0
22.8,400.0,486.5
22.900000000000000,392.0,484.0
23.0,389.0,483.0
23.1,385.5,482.0
23.200000000000000,382.0,481.0
23.3,378.0,480.5
23.400000000000000,372.5,477.5
23.5,369.5,476.5
23.6,367.0,475.5
23.700000000000000,362.5,475.0
23.8,360.5,473.5
23.900000000000000,354.5,471.0
24.0,352.0,470.5
24.1,347.5,469.0
24.200000000000000,345.5,468.0
24.3,342.5,467.0
24.400000000000000,337.5,465.5
24.5,332.5,464.5
24.6,330.5,463.5
24.700000000000000,327.5,462.5
24.8,324.5,461.0
24.900000000000000,318.5,459.5
25.0,315.5,458.5
25.1,312.5,458.0
25.200000000000000,310.0,457.0
25.3,308.0,456.0
25.400000000000000,303.5,453.5
25.5,300.0,452.5
25.6,297.5,452.0
25.700000000000000,295.0,451.0
25.8,290.0,449.0
25.900000000000000,285.0,447.5
26.0,283.0,446.5
26.1,279.5,445.0
26.200000000000000,278.5,444.0
26.3,275.5,443.0
26.400000000000000,271.5,441.0
26.5,268.0,440.0
26.6,266.0,438.5
26.700000000000000,262.5,437.5
26.8,261.0,436.5
26.900000000000000,258.5,435.5
27.0,254.5,433.5
27.1,251.5,432.5
27.200000000000000,249.5,432.0
27.3,246.5,431.0
27.400000000000000,244.5,430.0
27.5,240.5,428.0
27.6,239.5,427.5
27.700000000000000,237.0,426.5
27.8,235.0,425.5
27.900000000000000,234.0,425.0
28.0,229.5,423.5
28.1,227.5,422.0
28.200000000000000,225.0,421.0
28.3,223.5,420.0
